,Number_Tra,num_pole,num_bus,num_subway,num_Encross,num_tree,pop,Vol,NonPed_D,TrafDir_A,TrafDir_T,RW_TYPE_10,RW_TYPE_3,RW_TYPE_4,RW_TYPE_6,RW_TYPE_7,RW_TYPE_8,RW_TYPE_9,BikeLane_1,BikeLane_11,BikeLane_2,BikeLane_3,BikeLane_4,num_ecollisions_B,num_pedS
191,2,0,0,0,0,5,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
192,2,1,0,0,0,2,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
193,2,0,0,0,0,0,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
194,1,0,0,0,0,5,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,3,0,0,0,0,6,53094,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,5,0,0,0,0,0,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,5,0,0,0,0,1,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,4,0,0,0,0,0,62810,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
199,2,0,0,0,0,0,86117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1,0,0,0,0,0,86117,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201,2,0,0,0,0,0,62810,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
202,2,0,0,0,0,0,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
203,2,0,0,0,0,0,51064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,4,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1,0,0,0,0,2,23673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,1,0,0,0,0,0,23673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,3,0,0,0,0,0,86117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2,0,0,0,0,5,23673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2,0,0,0,0,5,23673,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1,0,0,0,0,14,86117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,2,0,0,0,0,0,59869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,1,0,0,0,0,5,23673,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2,0,0,0,0,0,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,2,0,0,0,0,0,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,1,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
